frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
38,0,2.467,0.98,1,0.16,0.33,0.66,0.00,0.00,0.00,0.00,0.02,0.00,1.01,0.00,0.07,0.00,1.17,0.19,0.26,0.79,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,0,2.533,0.98,1,0.18,0.43,0.65,0.00,0.00,0.00,0.00,0.06,0.00,0.97,0.00,0.03,0.00,1.15,0.32,0.35,0.66,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,0,2.600,0.98,1,0.22,0.49,0.62,0.00,0.00,0.00,0.00,0.06,0.00,0.99,0.00,0.03,0.00,1.21,0.29,0.33,0.67,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,0,2.667,0.98,1,0.29,0.50,0.63,0.00,0.00,0.00,0.00,0.03,0.00,0.94,0.00,0.02,0.00,1.22,0.30,0.32,0.65,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,0,2.733,0.98,1,0.69,0.76,0.54,0.00,0.00,0.00,0.00,0.05,0.00,0.96,0.00,0.02,0.00,1.15,0.12,0.19,0.98,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,0,2.800,0.98,1,1.05,1.07,0.49,0.00,0.00,0.00,0.00,0.07,0.00,0.97,0.00,0.03,0.00,1.05,0.14,0.22,1.24,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
44,0,2.867,0.98,1,0.92,0.94,0.51,0.00,0.00,0.00,0.00,0.07,0.00,0.95,0.00,0.00,0.00,1.27,0.16,0.13,1.02,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
45,0,2.933,0.98,1,0.45,0.47,0.63,0.00,0.00,0.00,0.00,0.02,0.00,0.91,0.00,0.00,0.00,1.79,0.20,0.21,0.50,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
46,0,3.000,0.98,1,0.00,0.00,0.63,0.02,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.00,0.00,2.30,0.15,0.27,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
47,0,3.067,0.98,1,0.00,0.00,0.39,0.09,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.00,0.00,2.36,0.07,0.23,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
